Carbon Number,Compound Name,Formula,RF,RF Source,RT (min)
1,Methane,CH4,2277.555556,Calgas average,20.63
2,Ethane,C2H6,3437.111111,Calgas average,7.397
3,Propane,C3H8,4627.444444,Calgas average,12.411
4,n-Butane,C4H10,4862.333333,Calgas average,16.987
4,Isobutane,C4H10,5609.666667,Calgas average,16.27
0,Hydrogen,H2,49.043,Calgas average,1.368
0,Carbon Dioxide,CO2,2057.284693,Calgas average,3.734
