Carbon Number,Compound Name,Formula,RF,RF Source,RT (min)
1,Methane,CH4,1.967187696,Calgas average,20.63
2,Ethane,C2H6,1.570910136,Calgas average,7.397
3,Propane,C3H8,1.435287044,Calgas average,12.411
4,n-Butane,C4H10,1.148131539,Calgas average,16.987
4,Isobutane,C4H10,1.318883862,Calgas average,16.27
0,Hydrogen,H2,0,Calgas average,1.368
0,Carbon Dioxide,CO2,1,Calgas average,3.734
