open,high,low,close,volume,count,datetime
32.5,32.65,30.9,30.9,13.0,8.0,2021-09-15 09:30:00
31.2,31.2,29.88,29.88,27.0,11.0,2021-09-15 09:35:00
30.0,30.55,29.4,29.57,104.0,13.0,2021-09-15 09:40:00
30.0,30.45,29.9,30.45,12.0,8.0,2021-09-15 09:45:00
30.65,30.91,29.6,29.7,34.0,17.0,2021-09-15 09:50:00
30.25,30.25,28.97,28.97,9.0,8.0,2021-09-15 09:55:00
30.15,31.0,30.15,31.0,3.0,3.0,2021-09-15 10:00:00
31.55,31.55,30.33,30.45,25.0,8.0,2021-09-15 10:05:00
30.43,30.43,29.21,29.4,79.0,10.0,2021-09-15 10:10:00
29.0,29.31,28.5,28.65,53.0,15.0,2021-09-15 10:15:00
29.1,29.1,28.57,28.65,17.0,4.0,2021-09-15 10:20:00
28.98,29.35,28.98,29.18,19.0,11.0,2021-09-15 10:25:00
30.04,30.1,29.95,30.07,74.0,10.0,2021-09-15 10:30:00
30.21,30.45,29.6,29.6,30.0,10.0,2021-09-15 10:35:00
29.64,29.75,29.55,29.66,6.0,6.0,2021-09-15 10:40:00
30.0,30.2,30.0,30.19,31.0,17.0,2021-09-15 10:45:00
30.35,30.65,30.0,30.0,10.0,6.0,2021-09-15 10:50:00
30.1,30.5,30.0,30.5,31.0,7.0,2021-09-15 10:55:00
30.35,30.52,30.35,30.5,5.0,4.0,2021-09-15 11:00:00
31.0,31.1,30.8,30.8,21.0,10.0,2021-09-15 11:05:00
31.0,31.04,30.96,30.96,16.0,7.0,2021-09-15 11:10:00
30.4,30.4,30.2,30.3,10.0,8.0,2021-09-15 11:15:00
30.62,31.16,30.62,31.15,99.0,9.0,2021-09-15 11:20:00
31.08,31.25,31.0,31.0,32.0,11.0,2021-09-15 11:25:00
30.87,30.87,30.15,30.41,5.0,5.0,2021-09-15 11:30:00
30.95,30.95,30.95,30.95,3.0,3.0,2021-09-15 11:35:00
30.75,30.75,30.75,30.75,1.0,1.0,2021-09-15 11:40:00
30.55,30.55,29.9,30.0,6.0,6.0,2021-09-15 11:45:00
30.2,30.2,30.2,30.2,1.0,1.0,2021-09-15 11:50:00
30.6,31.2,30.49,31.0,12.0,8.0,2021-09-15 11:55:00
31.28,32.02,31.25,32.02,155.0,53.0,2021-09-15 12:00:00
32.15,32.5,31.7,32.0,32.0,14.0,2021-09-15 12:05:00
31.82,32.0,31.35,31.35,16.0,10.0,2021-09-15 12:10:00
31.29,31.72,31.25,31.56,41.0,20.0,2021-09-15 12:15:00
31.7,32.0,31.35,32.0,17.0,12.0,2021-09-15 12:20:00
32.5,32.69,32.0,32.0,27.0,21.0,2021-09-15 12:25:00
32.65,33.09,32.47,33.09,11.0,9.0,2021-09-15 12:30:00
32.98,33.1,32.6,32.6,26.0,25.0,2021-09-15 12:35:00
32.56,32.85,32.56,32.75,22.0,10.0,2021-09-15 12:40:00
32.9,32.95,32.41,32.53,15.0,10.0,2021-09-15 12:45:00
32.45,32.45,32.3,32.3,6.0,4.0,2021-09-15 12:50:00
32.7,33.05,32.7,32.97,10.0,8.0,2021-09-15 12:55:00
33.5,33.5,32.7,32.86,56.0,17.0,2021-09-15 13:00:00
32.98,32.98,31.89,32.2,31.0,23.0,2021-09-15 13:05:00
32.3,32.4,32.3,32.3,4.0,3.0,2021-09-15 13:10:00
32.8,32.8,32.75,32.75,2.0,2.0,2021-09-15 13:15:00
32.73,32.76,32.6,32.6,3.0,3.0,2021-09-15 13:20:00
32.83,32.95,32.8,32.95,12.0,12.0,2021-09-15 13:25:00
32.75,33.2,32.7,33.05,20.0,17.0,2021-09-15 13:30:00
33.09,33.18,32.65,32.75,6.0,6.0,2021-09-15 13:35:00
32.76,32.9,32.68,32.85,15.0,7.0,2021-09-15 13:40:00
33.02,33.25,33.02,33.25,4.0,4.0,2021-09-15 13:45:00
33.34,33.54,33.28,33.54,5009.0,6.0,2021-09-15 13:50:00
33.45,33.5,33.17,33.17,9.0,6.0,2021-09-15 13:55:00
33.4,34.12,33.35,34.12,52.0,40.0,2021-09-15 14:00:00
34.2,34.65,34.2,34.65,20.0,9.0,2021-09-15 14:05:00
34.65,34.65,33.92,33.95,12.0,6.0,2021-09-15 14:10:00
34.2,34.2,34.2,34.2,1.0,1.0,2021-09-15 14:15:00
34.4,34.5,34.15,34.5,42.0,17.0,2021-09-15 14:20:00
34.47,34.55,34.28,34.28,12.0,6.0,2021-09-15 14:25:00
34.49,34.6,34.25,34.25,9.0,5.0,2021-09-15 14:30:00
