open,high,low,close,volume,count,datetime
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 09:30:00
74.25,74.25,74.25,74.25,1.0,1.0,2021-01-25 09:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 09:40:00
80.97,81.98,80.97,81.98,2.0,2.0,2021-01-25 09:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 09:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 09:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 10:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 10:05:00
91.22,91.22,90.99,90.99,3.0,2.0,2021-01-25 10:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 10:15:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 10:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 10:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 10:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 10:35:00
85.59,85.59,85.59,85.59,10.0,3.0,2021-01-25 10:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 10:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 10:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 10:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 11:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 11:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 11:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 11:15:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 11:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 11:25:00
83.25,83.25,83.25,83.25,5.0,3.0,2021-01-25 11:30:00
83.33,83.33,82.82,82.82,9.0,3.0,2021-01-25 11:35:00
82.76,84.19,82.76,84.19,5.0,2.0,2021-01-25 11:40:00
84.3,84.3,84.3,84.3,1.0,1.0,2021-01-25 11:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 11:50:00
84.0,84.0,84.0,84.0,1.0,1.0,2021-01-25 11:55:00
84.1,84.1,84.1,84.1,1.0,1.0,2021-01-25 12:00:00
85.13,85.13,85.13,85.13,2.0,2.0,2021-01-25 12:05:00
79.95,79.95,79.95,79.95,3.0,1.0,2021-01-25 12:10:00
79.47,79.47,79.47,79.47,2.0,1.0,2021-01-25 12:15:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 12:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 12:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 12:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 12:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 12:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 12:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 12:50:00
83.85,83.85,83.85,83.85,1.0,1.0,2021-01-25 12:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 13:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 13:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 13:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 13:15:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 13:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 13:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25 13:30:00
81.81,81.81,81.81,81.81,1.0,1.0,2021-01-25 13:35:00
