datetime,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
2021-10-18 09:30:00,1.0,1.0,851.47,0.0,22.0,1.0,851.48,0.0
2021-10-18 09:35:00,1.0,1.0,857.2,0.0,2.0,1.0,857.55,0.0
2021-10-18 09:40:00,2.0,43.0,856.76,0.0,1.0,60.0,857.02,0.0
2021-10-18 09:45:00,2.0,65.0,860.5,0.0,1.0,1.0,860.73,0.0
2021-10-18 09:50:00,1.0,43.0,858.65,0.0,2.0,7.0,858.83,0.0
2021-10-18 09:55:00,1.0,7.0,859.2,0.0,2.0,65.0,859.4,0.0
2021-10-18 10:00:00,1.0,65.0,860.2,0.0,1.0,65.0,860.38,0.0
2021-10-18 10:05:00,1.0,1.0,859.77,0.0,1.0,73.0,860.03,0.0
2021-10-18 10:10:00,1.0,68.0,863.38,0.0,1.0,65.0,863.58,0.0
2021-10-18 10:15:00,1.0,1.0,863.1,0.0,1.0,1.0,863.24,0.0
2021-10-18 10:20:00,1.0,1.0,861.54,0.0,2.0,7.0,861.77,0.0
2021-10-18 10:25:00,1.0,65.0,860.87,0.0,1.0,3.0,861.05,0.0
2021-10-18 10:30:00,2.0,1.0,863.58,0.0,1.0,7.0,863.74,0.0
2021-10-18 10:35:00,2.0,60.0,861.81,0.0,1.0,1.0,861.99,0.0
2021-10-18 10:40:00,1.0,43.0,861.97,0.0,1.0,1.0,862.15,0.0
2021-10-18 10:45:00,1.0,1.0,862.26,0.0,1.0,7.0,862.43,0.0
2021-10-18 10:50:00,1.0,43.0,862.97,0.0,1.0,1.0,863.36,0.0
2021-10-18 10:55:00,1.0,1.0,862.81,0.0,1.0,1.0,862.96,0.0
2021-10-18 11:00:00,1.0,43.0,862.08,0.0,1.0,1.0,862.23,0.0
2021-10-18 11:05:00,2.0,1.0,861.26,0.0,2.0,43.0,861.47,0.0
2021-10-18 11:10:00,1.0,1.0,860.18,0.0,5.0,1.0,860.4,0.0
2021-10-18 11:15:00,1.0,7.0,860.27,0.0,3.0,1.0,860.42,0.0
2021-10-18 11:20:00,1.0,1.0,860.62,0.0,1.0,1.0,860.75,0.0
2021-10-18 11:25:00,2.0,43.0,860.3,0.0,1.0,1.0,860.31,0.0
2021-10-18 11:30:00,1.0,43.0,860.32,0.0,1.0,65.0,860.46,0.0
2021-10-18 11:35:00,2.0,63.0,859.61,0.0,2.0,1.0,859.76,0.0
2021-10-18 11:40:00,1.0,1.0,858.87,0.0,2.0,1.0,858.99,0.0
2021-10-18 11:45:00,2.0,43.0,860.57,0.0,1.0,1.0,860.66,0.0
2021-10-18 11:50:00,1.0,1.0,862.01,0.0,1.0,43.0,862.14,0.0
2021-10-18 11:55:00,1.0,9.0,861.45,0.0,1.0,43.0,861.6,0.0
2021-10-18 12:00:00,2.0,1.0,859.84,0.0,1.0,43.0,859.96,0.0
2021-10-18 12:05:00,1.0,43.0,861.04,0.0,1.0,7.0,861.22,0.0
2021-10-18 12:10:00,2.0,1.0,861.33,0.0,1.0,8.0,861.46,0.0
2021-10-18 12:15:00,1.0,7.0,860.86,0.0,1.0,8.0,861.14,0.0
2021-10-18 12:20:00,1.0,1.0,861.64,0.0,6.0,43.0,861.75,0.0
2021-10-18 12:25:00,1.0,68.0,864.0,0.0,1.0,64.0,864.1,0.0
2021-10-18 12:30:00,2.0,1.0,865.4,0.0,3.0,65.0,865.48,0.0
2021-10-18 12:35:00,1.0,1.0,863.26,0.0,1.0,65.0,863.33,0.0
2021-10-18 12:40:00,1.0,60.0,863.31,0.0,1.0,64.0,863.42,0.0
2021-10-18 12:45:00,2.0,7.0,862.95,0.0,1.0,43.0,863.14,0.0
2021-10-18 12:50:00,1.0,7.0,863.71,0.0,1.0,1.0,863.78,0.0
2021-10-18 12:55:00,1.0,68.0,863.67,0.0,3.0,65.0,863.75,0.0
2021-10-18 13:00:00,2.0,1.0,863.32,0.0,1.0,43.0,863.54,0.0
2021-10-18 13:05:00,7.0,1.0,863.32,0.0,2.0,60.0,863.46,0.0
2021-10-18 13:10:00,2.0,1.0,866.16,0.0,2.0,65.0,866.3,0.0
2021-10-18 13:15:00,2.0,1.0,865.98,0.0,1.0,64.0,866.07,0.0
2021-10-18 13:20:00,1.0,43.0,867.07,0.0,1.0,1.0,867.28,0.0
2021-10-18 13:25:00,1.0,1.0,871.2,0.0,1.0,43.0,871.3,0.0
2021-10-18 13:30:00,1.0,1.0,871.04,0.0,1.0,60.0,871.15,0.0
2021-10-18 13:35:00,1.0,1.0,873.03,0.0,1.0,1.0,873.16,0.0
2021-10-18 13:40:00,2.0,1.0,873.77,0.0,4.0,1.0,873.9,0.0
2021-10-18 13:45:00,1.0,1.0,874.53,0.0,1.0,73.0,874.69,0.0
2021-10-18 13:50:00,15.0,1.0,874.0,0.0,1.0,1.0,874.11,0.0
2021-10-18 13:55:00,4.0,65.0,872.6,0.0,1.0,43.0,872.77,0.0
2021-10-18 14:00:00,1.0,1.0,872.8,0.0,1.0,65.0,872.85,0.0
2021-10-18 14:05:00,1.0,43.0,872.17,0.0,1.0,68.0,872.28,0.0
2021-10-18 14:10:00,1.0,43.0,871.37,0.0,1.0,68.0,871.55,0.0
2021-10-18 14:15:00,1.0,1.0,871.18,0.0,1.0,60.0,871.28,0.0
2021-10-18 14:20:00,1.0,1.0,870.75,0.0,1.0,65.0,870.91,0.0
2021-10-18 14:25:00,1.0,65.0,873.05,0.0,1.0,60.0,873.18,0.0
2021-10-18 14:30:00,2.0,43.0,872.91,0.0,1.0,68.0,873.05,0.0
2021-10-18 14:35:00,1.0,1.0,872.62,0.0,1.0,1.0,872.74,0.0
2021-10-18 14:40:00,1.0,1.0,872.1,0.0,1.0,43.0,872.27,0.0
2021-10-18 14:45:00,1.0,60.0,872.09,0.0,1.0,43.0,872.29,0.0
2021-10-18 14:50:00,1.0,68.0,874.0,0.0,1.0,64.0,874.15,0.0
2021-10-18 14:55:00,1.0,65.0,871.85,0.0,2.0,43.0,872.08,0.0
2021-10-18 15:00:00,2.0,1.0,872.48,0.0,1.0,73.0,872.59,0.0
2021-10-18 15:05:00,1.0,1.0,871.88,0.0,5.0,60.0,872.0,0.0
2021-10-18 15:10:00,1.0,8.0,871.82,0.0,1.0,1.0,871.93,0.0
2021-10-18 15:15:00,3.0,1.0,870.85,0.0,3.0,1.0,870.96,0.0
2021-10-18 15:20:00,1.0,1.0,872.96,0.0,1.0,1.0,873.06,0.0
2021-10-18 15:25:00,1.0,1.0,872.56,0.0,1.0,65.0,872.65,0.0
2021-10-18 15:30:00,3.0,1.0,872.64,0.0,4.0,1.0,872.8,0.0
2021-10-18 15:35:00,1.0,65.0,871.04,0.0,1.0,68.0,871.15,0.0
2021-10-18 15:40:00,3.0,1.0,868.3,0.0,1.0,68.0,868.43,0.0
2021-10-18 15:45:00,2.0,65.0,870.2,0.0,1.0,63.0,870.27,0.0
2021-10-18 15:50:00,1.0,9.0,869.08,0.0,1.0,60.0,869.35,0.0
2021-10-18 15:55:00,1.0,1.0,870.4,0.0,1.0,1.0,870.6,0.0
2021-10-19 09:30:00,1.0,7.0,877.06,0.0,21.0,1.0,877.36,0.0
2021-10-19 09:35:00,1.0,1.0,871.51,0.0,4.0,1.0,872.15,0.0
2021-10-19 09:40:00,1.0,68.0,872.09,0.0,2.0,1.0,872.43,0.0
2021-10-19 09:45:00,1.0,43.0,869.02,0.0,1.0,1.0,869.23,0.0
2021-10-19 09:50:00,1.0,60.0,872.05,0.0,1.0,1.0,872.3,0.0
2021-10-19 09:55:00,1.0,64.0,869.36,0.0,1.0,7.0,869.55,0.0
2021-10-19 10:00:00,1.0,68.0,864.56,0.0,2.0,43.0,864.74,0.0
2021-10-19 10:05:00,1.0,43.0,865.19,0.0,2.0,1.0,865.44,0.0
2021-10-19 10:10:00,2.0,65.0,864.3,0.0,1.0,65.0,864.76,0.0
2021-10-19 10:15:00,1.0,1.0,866.97,0.0,1.0,65.0,867.15,0.0
2021-10-19 10:20:00,1.0,68.0,867.19,0.0,1.0,1.0,867.45,0.0
2021-10-19 10:25:00,1.0,63.0,870.09,0.0,1.0,43.0,870.31,0.0
2021-10-19 10:30:00,2.0,1.0,868.77,0.0,1.0,43.0,868.95,0.0
2021-10-19 10:35:00,1.0,1.0,866.94,0.0,1.0,64.0,867.12,0.0
2021-10-19 10:40:00,1.0,43.0,867.66,0.0,1.0,43.0,867.86,0.0
2021-10-19 10:45:00,1.0,1.0,866.93,0.0,1.0,9.0,867.08,0.0
2021-10-19 10:50:00,1.0,64.0,869.36,0.0,1.0,65.0,869.52,0.0
2021-10-19 10:55:00,1.0,1.0,870.64,0.0,1.0,7.0,870.82,0.0
2021-10-19 11:00:00,1.0,1.0,870.05,0.0,1.0,1.0,870.29,0.0
2021-10-19 11:05:00,1.0,1.0,868.01,0.0,1.0,1.0,868.34,0.0
2021-10-19 11:10:00,2.0,65.0,867.41,0.0,2.0,1.0,867.53,0.0
2021-10-19 11:15:00,1.0,43.0,869.02,0.0,1.0,65.0,869.2,0.0
2021-10-19 11:20:00,1.0,1.0,870.0,0.0,1.0,7.0,870.14,0.0
2021-10-19 11:25:00,1.0,68.0,870.09,0.0,1.0,43.0,870.27,0.0
2021-10-19 11:30:00,1.0,1.0,869.09,0.0,1.0,60.0,869.27,0.0
2021-10-19 11:35:00,2.0,1.0,868.21,0.0,2.0,43.0,868.37,0.0
2021-10-19 11:40:00,3.0,65.0,870.31,0.0,1.0,68.0,870.47,0.0
2021-10-19 11:45:00,1.0,1.0,870.5,0.0,1.0,68.0,870.65,0.0
2021-10-19 11:50:00,1.0,65.0,870.3,0.0,2.0,7.0,870.44,0.0
2021-10-19 11:55:00,1.0,60.0,869.65,0.0,2.0,43.0,869.82,0.0
2021-10-19 12:00:00,2.0,68.0,870.49,0.0,2.0,43.0,870.7,0.0
2021-10-19 12:05:00,1.0,1.0,870.83,0.0,1.0,4.0,870.99,0.0
2021-10-19 12:10:00,1.0,7.0,871.18,0.0,4.0,60.0,871.34,0.0
2021-10-19 12:15:00,1.0,68.0,871.21,0.0,1.0,60.0,871.32,0.0
2021-10-19 12:20:00,1.0,60.0,872.18,0.0,9.0,1.0,872.45,0.0
2021-10-19 12:25:00,1.0,43.0,871.98,0.0,1.0,7.0,872.13,0.0
2021-10-19 12:30:00,1.0,73.0,872.74,0.0,1.0,1.0,872.91,0.0
2021-10-19 12:35:00,1.0,65.0,872.07,0.0,2.0,60.0,872.2,0.0
2021-10-19 12:40:00,1.0,1.0,871.82,0.0,2.0,60.0,871.98,0.0
2021-10-19 12:45:00,1.0,43.0,872.36,0.0,1.0,60.0,872.51,0.0
2021-10-19 12:50:00,1.0,68.0,873.02,0.0,2.0,60.0,873.13,0.0
2021-10-19 12:55:00,1.0,1.0,871.19,0.0,1.0,65.0,871.3,0.0
2021-10-19 13:00:00,1.0,43.0,871.66,0.0,1.0,43.0,871.79,0.0
2021-10-19 13:05:00,1.0,43.0,873.32,0.0,1.0,1.0,873.42,0.0
2021-10-19 13:10:00,1.0,65.0,873.59,0.0,1.0,17.0,873.67,0.0
2021-10-19 13:15:00,1.0,1.0,873.68,0.0,1.0,60.0,873.86,0.0
2021-10-19 13:20:00,1.0,43.0,873.71,0.0,3.0,1.0,873.92,0.0
2021-10-19 13:25:00,1.0,65.0,875.7,0.0,2.0,1.0,875.82,0.0
2021-10-19 13:30:00,1.0,60.0,874.33,0.0,1.0,43.0,874.47,0.0
2021-10-19 13:35:00,1.0,60.0,874.52,0.0,1.0,1.0,874.67,0.0
2021-10-19 13:40:00,1.0,1.0,874.17,0.0,2.0,9.0,874.29,0.0
2021-10-19 13:45:00,2.0,65.0,874.31,0.0,2.0,43.0,874.41,0.0
2021-10-19 13:50:00,1.0,17.0,873.92,0.0,1.0,17.0,874.07,0.0
2021-10-19 13:55:00,1.0,43.0,873.8,0.0,1.0,64.0,873.91,0.0
