open,high,low,close,volume,count,datetime
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 09:30:00
52.0,52.0,47.8,47.8,2.0,2.0,2021-03-01 09:35:00
47.46,47.46,47.46,47.46,1.0,1.0,2021-03-01 09:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 09:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 09:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 09:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 10:00:00
50.0,50.35,49.9,50.35,4.0,3.0,2021-03-01 10:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 10:10:00
53.55,53.55,53.55,53.55,1.0,1.0,2021-03-01 10:15:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 10:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 10:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 10:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 10:35:00
52.55,52.55,52.21,52.21,5.0,2.0,2021-03-01 10:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 10:45:00
54.95,55.08,54.95,55.08,3.0,2.0,2021-03-01 10:50:00
56.0,56.0,54.6,54.6,3.0,3.0,2021-03-01 10:55:00
55.77,55.77,55.67,55.67,2.0,2.0,2021-03-01 11:00:00
56.35,56.42,56.35,56.42,4.0,2.0,2021-03-01 11:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 11:10:00
58.25,58.25,58.25,58.25,1.0,1.0,2021-03-01 11:15:00
56.9,56.9,56.9,56.9,1.0,1.0,2021-03-01 11:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 11:25:00
56.0,56.35,56.0,56.35,7.0,6.0,2021-03-01 11:30:00
57.45,57.45,56.95,56.95,2.0,2.0,2021-03-01 11:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 11:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 11:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 11:50:00
56.04,56.04,56.04,56.04,10.0,1.0,2021-03-01 11:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 12:00:00
55.9,55.9,55.9,55.9,2.0,1.0,2021-03-01 12:05:00
56.84,56.84,56.84,56.84,1.0,1.0,2021-03-01 12:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 12:15:00
55.4,55.4,55.0,55.0,2.0,2.0,2021-03-01 12:20:00
57.05,57.05,56.64,56.64,2.0,2.0,2021-03-01 12:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 12:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 12:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 12:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 12:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 12:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 12:55:00
55.49,55.49,55.49,55.49,1.0,1.0,2021-03-01 13:00:00
54.51,54.51,54.51,54.51,2.0,1.0,2021-03-01 13:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 13:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 13:15:00
54.7,54.7,54.7,54.7,2.0,1.0,2021-03-01 13:20:00
54.7,54.7,54.7,54.7,1.0,1.0,2021-03-01 13:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 13:30:00
52.1,52.1,52.1,52.1,1.0,1.0,2021-03-01 13:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 13:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 13:45:00
53.11,53.11,53.11,53.11,1.0,1.0,2021-03-01 13:50:00
52.8,52.8,52.8,52.8,1.0,1.0,2021-03-01 13:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 14:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 14:05:00
53.3,53.3,53.3,53.3,1.0,1.0,2021-03-01 14:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 14:15:00
54.0,54.0,54.0,54.0,1.0,1.0,2021-03-01 14:20:00
54.83,54.83,54.83,54.83,1.0,1.0,2021-03-01 14:25:00
54.35,54.35,54.35,54.35,1.0,1.0,2021-03-01 14:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 14:35:00
54.6,54.9,54.6,54.9,4.0,4.0,2021-03-01 14:40:00
54.75,54.75,54.75,54.75,2.0,2.0,2021-03-01 14:45:00
54.9,55.0,54.9,55.0,3.0,2.0,2021-03-01 14:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 14:55:00
55.5,55.55,55.5,55.55,4.0,2.0,2021-03-01 15:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 15:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 15:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 15:15:00
54.65,54.65,54.65,54.65,1.0,1.0,2021-03-01 15:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 15:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 15:30:00
54.25,54.36,54.25,54.36,2.0,2.0,2021-03-01 15:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 15:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 15:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 15:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01 15:55:00
54.94,54.94,54.94,54.94,2.0,1.0,2021-03-02 09:30:00
54.0,54.0,51.85,52.5,5.0,5.0,2021-03-02 09:35:00
52.75,52.75,52.75,52.75,2.0,1.0,2021-03-02 09:40:00
51.5,52.4,49.38,49.38,5.0,5.0,2021-03-02 09:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-02 09:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-02 09:55:00
52.0,52.0,52.0,52.0,1.0,1.0,2021-03-02 10:00:00
52.95,52.95,52.95,52.95,1.0,1.0,2021-03-02 10:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-02 10:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-02 10:15:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-02 10:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-02 10:25:00
51.0,51.0,51.0,51.0,1.0,1.0,2021-03-02 10:30:00
50.7,50.7,50.7,50.7,1.0,1.0,2021-03-02 10:35:00
50.55,50.55,50.55,50.55,1.0,1.0,2021-03-02 10:40:00
51.3,51.3,51.3,51.3,1.0,1.0,2021-03-02 10:45:00
51.2,51.8,51.2,51.8,2.0,2.0,2021-03-02 10:50:00
52.38,52.38,52.38,52.38,4.0,1.0,2021-03-02 10:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-02 11:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-02 11:05:00
51.5,51.5,51.5,51.5,2.0,1.0,2021-03-02 11:10:00
50.0,50.0,50.0,50.0,1.0,1.0,2021-03-02 11:15:00
49.3,49.55,49.3,49.55,2.0,2.0,2021-03-02 11:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-02 11:25:00
