datetime,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition,open,high,low,close,volume,count,mid_price
2021-07-02 09:30:00,0.0,6.0,0.0,50.0,0.0,6.0,0.0,50.0,43.97,47.0,43.0,47.0,13.0,11.0,45.485
2021-07-02 09:35:00,1.0,60.0,45.55,50.0,22.0,9.0,46.65,50.0,45.3,52.18,45.3,52.18,9.0,9.0,46.099999999999994
2021-07-02 09:40:00,8.0,9.0,51.15,50.0,9.0,22.0,52.1,50.0,52.82,52.82,49.9,49.9,11.0,8.0,51.625
2021-07-02 09:45:00,20.0,43.0,49.45,50.0,20.0,43.0,50.6,50.0,50.45,50.8,48.45,50.77,13.0,10.0,50.025000000000006
2021-07-02 09:50:00,1.0,11.0,50.35,50.0,6.0,4.0,51.7,50.0,51.04,51.04,48.3,48.65,8.0,6.0,51.025000000000006
2021-07-02 09:55:00,18.0,65.0,47.45,50.0,9.0,9.0,48.2,50.0,48.1,48.1,47.0,47.0,2.0,2.0,47.825
2021-07-02 10:00:00,18.0,5.0,45.6,50.0,24.0,1.0,48.2,50.0,46.0,46.3,46.0,46.3,3.0,3.0,46.900000000000006
2021-07-02 10:05:00,20.0,65.0,45.6,50.0,38.0,65.0,46.55,50.0,45.75,45.9,44.75,44.75,5.0,4.0,46.075
2021-07-02 10:10:00,1.0,22.0,44.55,50.0,8.0,9.0,45.2,50.0,44.77,45.45,44.0,44.25,11.0,7.0,44.875
2021-07-02 10:15:00,23.0,65.0,44.25,50.0,6.0,9.0,45.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,44.625
2021-07-02 10:20:00,6.0,69.0,45.45,50.0,8.0,9.0,46.35,50.0,0.0,0.0,0.0,0.0,0.0,0.0,45.900000000000006
2021-07-02 10:25:00,22.0,65.0,46.1,50.0,20.0,9.0,46.85,50.0,0.0,0.0,0.0,0.0,0.0,0.0,46.475
2021-07-02 10:30:00,27.0,9.0,45.4,50.0,24.0,9.0,46.3,50.0,44.65,44.65,43.81,43.81,2.0,2.0,45.849999999999994
2021-07-02 10:35:00,17.0,9.0,43.75,50.0,22.0,9.0,44.55,50.0,44.75,44.75,44.75,44.75,1.0,1.0,44.15
2021-07-02 10:40:00,14.0,9.0,43.9,50.0,20.0,9.0,44.65,50.0,42.65,42.65,42.03,42.03,3.0,3.0,44.275
2021-07-02 10:45:00,17.0,65.0,42.15,50.0,3.0,65.0,42.8,50.0,42.07,42.4,42.07,42.4,11.0,2.0,42.474999999999994
2021-07-02 10:50:00,8.0,9.0,42.05,50.0,3.0,22.0,42.75,50.0,41.45,41.75,41.45,41.75,7.0,5.0,42.4
2021-07-02 10:55:00,8.0,5.0,41.15,50.0,10.0,65.0,41.8,50.0,41.0,41.65,41.0,41.59,8.0,4.0,41.474999999999994
2021-07-02 11:00:00,21.0,9.0,40.25,50.0,6.0,9.0,41.15,50.0,40.96,41.2,40.96,41.2,2.0,2.0,40.7
2021-07-02 11:05:00,38.0,65.0,41.65,50.0,8.0,65.0,42.35,50.0,42.3,43.0,42.25,42.97,38.0,9.0,42.0
2021-07-02 11:10:00,22.0,65.0,42.7,50.0,25.0,65.0,43.35,50.0,43.0,43.15,42.45,43.15,9.0,8.0,43.025000000000006
2021-07-02 11:15:00,25.0,65.0,42.1,50.0,14.0,9.0,42.8,50.0,42.15,42.3,41.95,41.95,4.0,3.0,42.45
2021-07-02 11:20:00,7.0,65.0,41.55,50.0,8.0,9.0,42.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,41.875
2021-07-02 11:25:00,13.0,65.0,41.15,50.0,11.0,1.0,41.75,50.0,41.23,41.23,41.23,41.23,1.0,1.0,41.45
2021-07-02 11:30:00,29.0,43.0,40.35,50.0,8.0,65.0,41.05,50.0,41.4,41.4,41.0,41.0,4.0,3.0,40.7
2021-07-02 11:35:00,16.0,65.0,40.7,50.0,2.0,4.0,41.3,50.0,42.0,42.0,41.8,41.8,4.0,3.0,41.0
2021-07-02 11:40:00,11.0,9.0,41.55,50.0,4.0,60.0,42.0,50.0,41.75,42.5,41.75,42.5,25.0,10.0,41.775
2021-07-02 11:45:00,19.0,65.0,42.15,50.0,19.0,65.0,42.7,50.0,42.9,42.9,42.9,42.9,1.0,1.0,42.425
2021-07-02 11:50:00,19.0,1.0,42.2,50.0,17.0,65.0,42.8,50.0,42.4,42.4,42.3,42.3,4.0,2.0,42.5
2021-07-02 11:55:00,22.0,65.0,41.85,50.0,17.0,65.0,42.25,50.0,41.3,41.3,41.3,41.3,1.0,1.0,42.05
