datetime,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
2021-01-21 09:30:00,0.0,1.0,0.0,50.0,0.0,1.0,0.0,50.0
2021-01-21 09:35:00,2.0,9.0,70.1,50.0,11.0,43.0,71.4,50.0
2021-01-21 09:40:00,4.0,4.0,69.25,50.0,11.0,43.0,70.55,50.0
2021-01-21 09:45:00,6.0,60.0,69.65,50.0,9.0,60.0,70.25,50.0
2021-01-21 09:50:00,5.0,69.0,68.65,50.0,13.0,5.0,69.2,50.0
2021-01-21 09:55:00,16.0,69.0,68.85,50.0,25.0,1.0,69.55,50.0
2021-01-21 10:00:00,5.0,1.0,69.65,50.0,10.0,60.0,70.25,50.0
2021-01-21 10:05:00,18.0,5.0,69.55,50.0,20.0,5.0,70.15,50.0
2021-01-21 10:10:00,7.0,60.0,69.35,50.0,6.0,1.0,70.0,50.0
2021-01-21 10:15:00,12.0,60.0,70.2,50.0,10.0,60.0,70.85,50.0
2021-01-21 10:20:00,12.0,4.0,69.65,50.0,23.0,1.0,70.3,50.0
2021-01-21 10:25:00,9.0,1.0,69.65,50.0,10.0,4.0,70.35,50.0
2021-01-21 10:30:00,10.0,5.0,68.75,50.0,23.0,1.0,69.35,50.0
2021-01-21 10:35:00,23.0,1.0,67.95,50.0,16.0,60.0,68.5,50.0
2021-01-21 10:40:00,18.0,5.0,66.85,50.0,15.0,69.0,67.45,50.0
2021-01-21 10:45:00,15.0,60.0,67.85,50.0,8.0,1.0,68.4,50.0
2021-01-21 10:50:00,6.0,60.0,68.7,50.0,23.0,1.0,69.25,50.0
2021-01-21 10:55:00,6.0,4.0,69.05,50.0,7.0,60.0,69.6,50.0
2021-01-21 11:00:00,2.0,69.0,69.55,50.0,5.0,1.0,70.15,50.0
2021-01-21 11:05:00,9.0,4.0,70.8,50.0,17.0,60.0,71.35,50.0
2021-01-21 11:10:00,4.0,4.0,70.7,50.0,7.0,60.0,71.25,50.0
2021-01-21 11:15:00,11.0,60.0,72.05,50.0,15.0,4.0,72.65,50.0
2021-01-21 11:20:00,15.0,60.0,72.5,50.0,25.0,1.0,73.05,50.0
2021-01-21 11:25:00,19.0,1.0,72.9,50.0,9.0,1.0,73.45,50.0
2021-01-21 11:30:00,19.0,65.0,72.6,50.0,8.0,4.0,73.2,50.0
2021-01-21 11:35:00,3.0,60.0,71.75,50.0,12.0,4.0,72.3,50.0
2021-01-21 11:40:00,13.0,43.0,70.7,50.0,20.0,60.0,71.25,50.0
2021-01-21 11:45:00,23.0,1.0,71.05,50.0,22.0,60.0,71.7,50.0
2021-01-21 11:50:00,5.0,46.0,71.65,50.0,12.0,47.0,72.2,50.0
2021-01-21 11:55:00,21.0,60.0,70.7,50.0,10.0,4.0,71.25,50.0
2021-01-21 12:00:00,22.0,65.0,69.95,50.0,13.0,60.0,70.45,50.0
2021-01-21 12:05:00,20.0,65.0,69.6,50.0,4.0,4.0,70.1,50.0
2021-01-21 12:10:00,12.0,5.0,69.35,50.0,20.0,65.0,69.9,50.0
2021-01-21 12:15:00,7.0,69.0,68.6,50.0,9.0,4.0,69.0,50.0
2021-01-21 12:20:00,5.0,1.0,68.7,50.0,13.0,4.0,69.3,50.0
2021-01-21 12:25:00,17.0,5.0,68.8,50.0,1.0,60.0,69.35,50.0
2021-01-21 12:30:00,26.0,4.0,68.45,50.0,17.0,60.0,69.0,50.0
2021-01-21 12:35:00,20.0,60.0,69.7,50.0,3.0,1.0,70.2,50.0
2021-01-21 12:40:00,18.0,69.0,69.2,50.0,17.0,9.0,70.1,50.0
2021-01-21 12:45:00,23.0,5.0,68.8,50.0,2.0,4.0,69.25,50.0
2021-01-21 12:50:00,24.0,60.0,68.6,50.0,24.0,60.0,69.15,50.0
2021-01-21 12:55:00,14.0,1.0,68.1,50.0,4.0,6.0,68.7,50.0
2021-01-21 13:00:00,15.0,4.0,69.05,50.0,12.0,9.0,69.5,50.0
2021-01-21 13:05:00,6.0,1.0,68.95,50.0,23.0,60.0,69.45,50.0
2021-01-21 13:10:00,25.0,1.0,69.4,50.0,21.0,60.0,70.0,50.0
2021-01-21 13:15:00,21.0,5.0,68.65,50.0,17.0,65.0,69.25,50.0
2021-01-21 13:20:00,20.0,9.0,68.4,50.0,14.0,60.0,68.9,50.0
2021-01-21 13:25:00,18.0,9.0,69.05,50.0,18.0,5.0,69.6,50.0
2021-01-21 13:30:00,17.0,9.0,68.75,50.0,22.0,5.0,69.25,50.0
2021-01-21 13:35:00,19.0,60.0,69.1,50.0,4.0,4.0,69.55,50.0
2021-01-21 13:40:00,5.0,1.0,68.65,50.0,1.0,60.0,69.15,50.0
2021-01-21 13:45:00,18.0,60.0,68.35,50.0,14.0,65.0,68.85,50.0
2021-01-21 13:50:00,4.0,1.0,68.35,50.0,24.0,60.0,68.85,50.0
2021-01-21 13:55:00,7.0,1.0,68.5,50.0,2.0,1.0,69.05,50.0
2021-01-21 14:00:00,21.0,5.0,68.2,50.0,5.0,69.0,68.75,50.0
2021-01-21 14:05:00,17.0,5.0,68.5,50.0,6.0,5.0,69.0,50.0
2021-01-21 14:10:00,12.0,43.0,68.4,50.0,2.0,60.0,68.85,50.0
2021-01-21 14:15:00,27.0,1.0,67.85,50.0,3.0,69.0,68.45,50.0
2021-01-21 14:20:00,10.0,43.0,68.05,50.0,7.0,1.0,68.65,50.0
2021-01-21 14:25:00,8.0,69.0,67.95,50.0,17.0,60.0,68.45,50.0
2021-01-21 14:30:00,19.0,1.0,68.55,50.0,1.0,1.0,69.05,50.0
2021-01-21 14:35:00,26.0,60.0,68.65,50.0,10.0,1.0,69.2,50.0
2021-01-21 14:40:00,7.0,1.0,67.85,50.0,2.0,1.0,68.45,50.0
2021-01-21 14:45:00,25.0,9.0,68.25,50.0,17.0,65.0,68.8,50.0
2021-01-21 14:50:00,18.0,47.0,68.1,50.0,4.0,1.0,68.6,50.0
2021-01-21 14:55:00,24.0,60.0,67.95,50.0,19.0,60.0,68.45,50.0
2021-01-21 15:00:00,29.0,4.0,68.5,50.0,20.0,1.0,69.0,50.0
2021-01-21 15:05:00,19.0,60.0,68.9,50.0,19.0,1.0,69.4,50.0
2021-01-21 15:10:00,17.0,4.0,68.05,50.0,24.0,69.0,68.55,50.0
2021-01-21 15:15:00,24.0,5.0,68.75,50.0,2.0,1.0,69.25,50.0
2021-01-21 15:20:00,11.0,60.0,69.4,50.0,28.0,60.0,69.9,50.0
2021-01-21 15:25:00,12.0,1.0,68.45,50.0,22.0,5.0,68.95,50.0
2021-01-21 15:30:00,7.0,1.0,69.0,50.0,19.0,1.0,69.6,50.0
2021-01-21 15:35:00,16.0,5.0,67.7,50.0,14.0,5.0,68.3,50.0
2021-01-21 15:40:00,14.0,60.0,67.75,50.0,2.0,1.0,68.2,50.0
2021-01-21 15:45:00,8.0,60.0,67.95,50.0,16.0,60.0,68.4,50.0
2021-01-21 15:50:00,9.0,60.0,67.6,50.0,14.0,65.0,68.2,50.0
2021-01-21 15:55:00,2.0,4.0,67.4,50.0,19.0,69.0,68.05,50.0
2021-01-22 09:30:00,0.0,1.0,0.0,50.0,0.0,1.0,0.0,50.0
2021-01-22 09:35:00,6.0,69.0,64.35,50.0,4.0,9.0,65.05,50.0
2021-01-22 09:40:00,1.0,43.0,62.3,50.0,16.0,65.0,62.8,50.0
2021-01-22 09:45:00,4.0,60.0,61.4,50.0,8.0,60.0,62.2,50.0
2021-01-22 09:50:00,18.0,1.0,63.5,50.0,4.0,60.0,64.05,50.0
2021-01-22 09:55:00,15.0,69.0,63.6,50.0,22.0,1.0,64.15,50.0
2021-01-22 10:00:00,14.0,65.0,63.05,50.0,15.0,60.0,63.6,50.0
2021-01-22 10:05:00,5.0,65.0,62.4,50.0,17.0,65.0,62.9,50.0
2021-01-22 10:10:00,6.0,60.0,62.25,50.0,14.0,60.0,62.75,50.0
2021-01-22 10:15:00,13.0,9.0,61.75,50.0,12.0,4.0,62.3,50.0
2021-01-22 10:20:00,8.0,1.0,62.45,50.0,15.0,69.0,62.95,50.0
2021-01-22 10:25:00,19.0,60.0,61.3,50.0,21.0,60.0,61.8,50.0
2021-01-22 10:30:00,5.0,1.0,59.9,50.0,18.0,65.0,60.35,50.0
2021-01-22 10:35:00,3.0,65.0,59.15,50.0,28.0,65.0,59.7,50.0
2021-01-22 10:40:00,15.0,60.0,58.7,50.0,4.0,43.0,59.2,50.0
2021-01-22 10:45:00,16.0,60.0,59.8,50.0,15.0,9.0,60.3,50.0
2021-01-22 10:50:00,14.0,9.0,60.35,50.0,8.0,47.0,60.85,50.0
2021-01-22 10:55:00,20.0,1.0,60.85,50.0,17.0,5.0,61.45,50.0
2021-01-22 11:00:00,16.0,65.0,61.2,50.0,5.0,9.0,62.05,50.0
2021-01-22 11:05:00,4.0,69.0,60.85,50.0,11.0,4.0,61.3,50.0
2021-01-22 11:10:00,20.0,60.0,61.0,50.0,5.0,47.0,61.5,50.0
2021-01-22 11:15:00,23.0,9.0,61.25,50.0,11.0,1.0,61.75,50.0
2021-01-22 11:20:00,3.0,60.0,61.05,50.0,17.0,60.0,61.55,50.0
2021-01-22 11:25:00,23.0,1.0,59.7,50.0,16.0,65.0,60.2,50.0
2021-01-22 11:30:00,18.0,65.0,59.8,50.0,9.0,4.0,60.3,50.0
2021-01-22 11:35:00,18.0,60.0,60.1,50.0,7.0,60.0,60.55,50.0
2021-01-22 11:40:00,6.0,60.0,61.0,50.0,3.0,22.0,61.4,50.0
2021-01-22 11:45:00,22.0,5.0,61.1,50.0,14.0,60.0,61.55,50.0
2021-01-22 11:50:00,22.0,60.0,62.2,50.0,20.0,65.0,62.65,50.0
2021-01-22 11:55:00,8.0,4.0,62.65,50.0,26.0,4.0,63.15,50.0
2021-01-22 12:00:00,15.0,65.0,62.2,50.0,5.0,69.0,62.7,50.0
2021-01-22 12:05:00,24.0,60.0,61.85,50.0,28.0,65.0,62.3,50.0
2021-01-22 12:10:00,21.0,60.0,61.6,50.0,27.0,60.0,62.05,50.0
2021-01-22 12:15:00,22.0,60.0,62.2,50.0,14.0,69.0,62.65,50.0
2021-01-22 12:20:00,14.0,9.0,62.3,50.0,26.0,65.0,62.8,50.0
2021-01-22 12:25:00,2.0,1.0,62.8,50.0,9.0,4.0,63.3,50.0
2021-01-22 12:30:00,16.0,65.0,62.25,50.0,8.0,4.0,62.8,50.0
2021-01-22 12:35:00,10.0,65.0,62.15,50.0,2.0,69.0,62.7,50.0
2021-01-22 12:40:00,1.0,65.0,61.7,50.0,5.0,60.0,62.15,50.0
2021-01-22 12:45:00,11.0,1.0,61.45,50.0,18.0,1.0,61.9,50.0
2021-01-22 12:50:00,18.0,9.0,61.2,50.0,9.0,9.0,61.7,50.0
2021-01-22 12:55:00,22.0,9.0,61.85,50.0,4.0,60.0,62.3,50.0
2021-01-22 13:00:00,6.0,43.0,61.25,50.0,20.0,60.0,61.75,50.0
2021-01-22 13:05:00,21.0,65.0,61.5,50.0,17.0,9.0,62.0,50.0
2021-01-22 13:10:00,24.0,65.0,61.5,50.0,2.0,47.0,62.0,50.0
2021-01-22 13:15:00,23.0,60.0,62.05,50.0,20.0,5.0,62.55,50.0
2021-01-22 13:20:00,1.0,65.0,61.85,50.0,23.0,1.0,62.25,50.0
2021-01-22 13:25:00,22.0,1.0,61.7,50.0,9.0,69.0,62.1,50.0
2021-01-22 13:30:00,1.0,65.0,62.15,50.0,21.0,65.0,62.55,50.0
2021-01-22 13:35:00,18.0,60.0,61.95,50.0,24.0,9.0,62.5,50.0
2021-01-22 13:40:00,23.0,65.0,62.0,50.0,7.0,69.0,62.45,50.0
2021-01-22 13:45:00,14.0,65.0,63.6,50.0,13.0,60.0,64.1,50.0
2021-01-22 13:50:00,16.0,65.0,64.2,50.0,14.0,60.0,64.75,50.0
2021-01-22 13:55:00,17.0,60.0,63.1,50.0,22.0,60.0,63.6,50.0
2021-01-22 14:00:00,22.0,60.0,62.35,50.0,24.0,65.0,62.9,50.0
2021-01-22 14:05:00,25.0,65.0,62.25,50.0,22.0,1.0,62.75,50.0
2021-01-22 14:10:00,18.0,5.0,62.7,50.0,30.0,9.0,63.2,50.0
2021-01-22 14:15:00,12.0,69.0,61.75,50.0,8.0,4.0,62.2,50.0
2021-01-22 14:20:00,22.0,65.0,61.7,50.0,29.0,60.0,62.2,50.0
2021-01-22 14:25:00,22.0,65.0,63.0,50.0,5.0,69.0,63.5,50.0
2021-01-22 14:30:00,1.0,1.0,62.8,50.0,19.0,65.0,63.25,50.0
2021-01-22 14:35:00,23.0,65.0,63.15,50.0,2.0,43.0,63.6,50.0
2021-01-22 14:40:00,24.0,60.0,63.0,50.0,14.0,60.0,63.5,50.0
2021-01-22 14:45:00,15.0,4.0,63.75,50.0,19.0,65.0,64.4,50.0
2021-01-22 14:50:00,27.0,4.0,62.85,50.0,3.0,47.0,63.45,50.0
2021-01-22 14:55:00,16.0,60.0,62.9,50.0,15.0,5.0,63.45,50.0
2021-01-22 15:00:00,16.0,5.0,62.8,50.0,21.0,1.0,63.3,50.0
2021-01-22 15:05:00,22.0,60.0,62.7,50.0,14.0,60.0,63.2,50.0
2021-01-22 15:10:00,11.0,60.0,62.7,50.0,10.0,69.0,63.2,50.0
