open,high,low,close,volume,count,datetime
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 09:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 09:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 09:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 09:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 09:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 09:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 10:00:00
91.0,91.0,91.0,91.0,2.0,2.0,2021-11-08 10:05:00
96.1,96.1,96.1,96.1,1.0,1.0,2021-11-08 10:10:00
97.27,97.27,97.27,97.27,1.0,1.0,2021-11-08 10:15:00
97.0,97.0,97.0,97.0,1.0,1.0,2021-11-08 10:20:00
95.19,95.19,95.19,95.19,1.0,1.0,2021-11-08 10:25:00
92.45,92.45,92.45,92.45,1.0,1.0,2021-11-08 10:30:00
91.25,91.25,91.0,91.0,6.0,2.0,2021-11-08 10:35:00
87.64,89.55,87.64,89.55,2.0,2.0,2021-11-08 10:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 10:45:00
90.1,90.1,90.1,90.1,1.0,1.0,2021-11-08 10:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 10:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 11:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 11:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 11:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 11:15:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 11:20:00
89.0,89.0,89.0,89.0,2.0,1.0,2021-11-08 11:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 11:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 11:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 11:40:00
86.45,86.47,86.45,86.47,11.0,3.0,2021-11-08 11:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 11:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 11:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 12:00:00
87.1,87.1,87.1,87.1,1.0,1.0,2021-11-08 12:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 12:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 12:15:00
88.05,88.05,88.05,88.05,1.0,1.0,2021-11-08 12:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 12:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 12:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 12:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 12:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 12:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 12:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 12:55:00
