SEP=,
NODENO,BEZIRKE,XCOORD,YCOORD,T0PRT,VOLPRT,SCTYPE,HST_MAX,HST_MIN,KNOTEN_IST_HST
1311,Bassersdorf Nord,8.6348,47.4517,0min,,,,,0
1452,Bassersdorf Nord,8.6287,47.4434,1s,,,,,0
1456,Bassersdorf Nord,8.6286,47.4434,0min,,,,,0
18576161,Bassersdorf Nord,8.6291,47.4436,0min,,,958,958,1
300006504,Bassersdorf Nord,8.6349,47.4482,0min,,,,,0
300007259,Bassersdorf Nord,8.6322,47.4464,0min,,,,,0
515,Bertschikon Nord,8.8243,47.5448,0min,,,,,0
538,Bertschikon Nord,8.8285,47.5415,0min,,,,,0
542,Bertschikon Nord,8.824,47.5403,0min,,,,,0
545,Bertschikon Nord,8.8223,47.5398,0min,,,,,0
552,Bertschikon Nord,8.8353,47.5378,0min,,,,,0
553,Bertschikon Nord,8.8086,47.5378,0min,,,,,0
555,Bertschikon Nord,8.8361,47.5363,0min,,,,,0
588,Bertschikon Nord,8.8161,47.5319,0min,,,,,0
614,Bertschikon Nord,8.8185,47.53,0min,,,,,0
615,Bertschikon Nord,8.8182,47.5299,0min,,,,,0
620,Bertschikon Nord,8.8344,47.5289,0min,,,,,0
622,Bertschikon Nord,8.8337,47.5288,0min,,,,,0
624,Bertschikon Nord,8.8303,47.5288,0min,,,,,0
625,Bertschikon Nord,8.8332,47.5287,0min,,,,,0
626,Bertschikon Nord,8.8312,47.5287,0min,,,,,0
627,Bertschikon Nord,8.8316,47.5287,0min,,,,,0
18581408,Bertschikon Nord,8.8324,47.5484,0min,,,,,0
18587005,Bertschikon Nord,8.8226,47.5399,0min,,,3252,3252,1
300001750,Bertschikon Nord,8.8376,47.535,0min,,,,,0
300002505,Bertschikon Nord,8.8358,47.5369,0min,,,,,0
300003394,Bertschikon Nord,8.8182,47.5398,0min,,,,,0
300003547,Bertschikon Nord,8.8368,47.5391,0min,,,,,0
300003760,Bertschikon Nord,8.8195,47.5376,0min,,,,,0
300004044,Bertschikon Nord,8.8275,47.5413,0min,,,,,0
300004101,Bertschikon Nord,8.8254,47.5407,0min,,,,,0
300004183,Bertschikon Nord,8.8379,47.5349,0min,,,,,0
300005290,Bertschikon Nord,8.8206,47.5398,0min,,,,,0
300005301,Bertschikon Nord,8.831,47.5477,0min,,,,,0
300005708,Bertschikon Nord,8.8265,47.5393,0min,,,,,0
300005709,Bertschikon Nord,8.8263,47.5395,0min,,,,,0
300005714,Bertschikon Nord,8.8271,47.5463,0min,,,,,0
