Compound Name,isoSMILES
"Butane, 2-methyl-",CCC(C)C
"Pentane, 2-methyl-",CCCC(C)C
n-Hexane,CCCCCC
"Hexane, 3,4-dimethyl-",CCC(C)C(C)CC
"Cyclobutane, ethyl-",CCC1CCC1
"Heptane, 3,3,4-trimethyl-",CCCC(C)C(C)(C)CC
Heptane,CCCCCCC
"Octane, 2,7-dimethyl-",CC(C)CCCCC(C)C
"Heptane, 2-methyl-",CCCCCC(C)C
"Heptane, 3-methyl-",CCCCC(C)CC
"2-Pentene, 2,4,4-trimethyl-",CC(=CC(C)(C)C)C
"Heptane, 3,5-dimethyl-",CCC(C)CC(C)CC
"Heptane, 2,3-dimethyl-",CCCCC(C)C(C)C
"Hexane, 2-phenyl-3-propyl-",CCCC(CCC)C(C)C1=CC=CC=C1
"Butane, 2,2-dimethyl-",CCC(C)(C)C
"Benzene, 1,2,3-trimethyl-",CC1=C(C(=CC=C1)C)C
"Benzene, 1,2,4-trimethyl-",CC1=CC(=C(C=C1)C)C
"Benzene, 1,2,4,5-tetramethyl-",CC1=CC(=C(C=C1C)C)C
"Benzene, pentamethyl-",CC1=CC(=C(C(=C1C)C)C)C
"Benzene, 1,3,5-tri-tert-butyl-",CC(C)(C)C1=CC(=CC(=C1)C(C)(C)C)C(C)(C)C
"Benzene, 1,3,5-tri-tert-butyl-",CC(C)(C)C1=CC(=CC(=C1)C(C)(C)C)C(C)(C)C
"Naphthalene, 1,4,6-trimethyl-",CC1=CC2=C(C=CC(=C2C=C1)C)C
"Naphthalene, 2,3,6-trimethyl-",CC1=CC2=C(C=C1)C=C(C(=C2)C)C
"1,4,5,8-Tetramethylnaphthalene",CC1=C2C(=CC=C(C2=C(C=C1)C)C)C
"1,4,5,8-Tetramethylnaphthalene",CC1=C2C(=CC=C(C2=C(C=C1)C)C)C
"3,4-Dimethoxy-6-methylpyrocatechol",CC1=CC(=C(C(=C1O)O)OC)OC
"5-Benzofuranpropanol, 2-(1,3-benzodioxol-5-yl)-7-methoxy-",COC1=CC(=CC2=C1OC(=C2)C3=CC4=C(C=C3)OCO4)CCCO
"9,10-Anthracenedione, 1-phenyl-",C1=CC=C(C=C1)C2=C3C(=CC=C2)C(=O)C4=CC=CC=C4C3=O
"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",CC1(C=C(OC(=C1)C(C)(C)C)C(C)(C)C)C2(C=C(OC(=C2)C(C)(C)C)C(C)(C)C)C
Oxygen,O=O
Isobutane,CC(C)C
n-Butane,CCCC
Pentane,CCCCC
"Cyclopropane, 1,2-dimethyl-, cis-",C[C@@H]1C[C@@H]1C
"Pentane, 3-methyl-",CCC(C)CC
"1-Pentene, 2-methyl-",CCCC(=C)C
"2-Pentene, 4-methyl-",C/C=C/C(C)C
"2-Hexene, (E)-",CCC/C=C/C
"Butane, 2,2,3-trimethyl-",CC(C)C(C)(C)C
"Pentane, 2,4-dimethyl-",CC(C)CC(C)C
"1-Pentene, 2,4-dimethyl-",CC(C)CC(=C)C
"Pentane, 3,3-dimethyl-",CCC(C)(C)CC
"2-Pentene, 2,4-dimethyl-",CC(C)C=C(C)C
"Hexane, 2-methyl-",CCCCC(C)C
"Hexane, 3-methyl-",CCCC(C)CC
"Cyclopentane, 1,3-dimethyl-, trans-",C[C@@H]1CC[C@H](C1)C
"1-Heptene, 5-methyl-",CCC(C)CCC=C
"Cyclopentane, 1,2-dimethyl-",CC1CCCC1C
"4-Methyl-2-hexene,c&t",CCC(C)/C=C/C
"4-Methyl-2-hexene,c&t",CCC(C)/C=C/C
"2-Pentene, 3,4-dimethyl-, (Z)-",C/C=C(/C)\C(C)C
"Cyclohexane, methyl-",CC1CCCCC1
"Hexane, 2,5-dimethyl-",CC(C)CCC(C)C
"Hexane, 2,4-dimethyl-",CCC(C)CC(C)C
"Cyclopentane, 1,2,4-trimethyl-",C[C@@H]1CC(C[C@H]1C)C
"2-Pentene, 3-ethyl-2-methyl-",CCC(=C(C)C)CC
"Pentane, 2,3,4-trimethyl-",CC(C)C(C)C(C)C
"Octane, 2,2,6-trimethyl-",CCC(C)CCCC(C)(C)C
