Sample Name,FID RT,Compound Name,Formula,Match Factor,Catalyst,Reaction Temperature (C),Reaction pressure (psi),Gas
MBPR032,0.119500352,No Match,,,BEA,287,150,N2
MBPR026,0.1215,No Match,,,BEA,282,130,N2
MBPR032,0.1267,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,50.4886697,BEA,287,150,N2
MBPR025,0.1393,2-Butyn-1-al diethyl acetal,C8H14O2,50.73059212,Ru/C+BEA 5wt.%,278,145,N2
MBPR025,0.147,"Pentadecane, 2,6,10,14-tetramethyl-",C19H40,61.95277704,Ru/C+BEA 5wt.%,278,145,N2
MBPR025,0.1595,No Match,,,Ru/C+BEA 5wt.%,278,145,N2
MBPR022,0.1597,"Pentadecane, 2,6,10,14-tetramethyl-",C19H40,52.24415472,Ru/C+BEA 5wt.%,281,138,N2
MBPR032,0.1599,No Match,,,BEA,287,150,N2
MBPR038_02,0.1675,No Match,,,Ru/C 5wt.%,280,134,N2
MBPR039_02,0.182086124,No Match,,,Ru/C 5wt.%,280,134,N2
MBPR039_02,0.2115,No Match,,,Ru/C 5wt.%,280,134,N2
MBPR032,2.3362,No Match,,,BEA,287,150,N2
MBPR039_02,2.4434,Isobutane,C4H10,96.44576233,Ru/C 5wt.%,280,134,N2
MBPR038_02,2.4437,Isobutane,C4H10,91.99326082,Ru/C 5wt.%,280,134,N2
MBPR022,2.444,Isobutane,C4H10,90.05484545,Ru/C+BEA 5wt.%,281,138,N2
MBPR028,2.444,Isobutane,C4H10,82.90636782,Ru/C+BEA 5wt.%,272,130,N2
MBPR029,2.4443,Propyl pyruvate,C6H10O3,86.16490903,BEA,275,115,N2
MBPR023,2.4459,Isobutane,C4H10,94.90021316,BEA,285,138,N2
MBPR026,2.448,Isobutane,C4H10,88.23557122,BEA,282,130,N2
MBPR038_02,2.6721,"Butane, 2-methyl-",C5H12,97.79077345,Ru/C 5wt.%,280,134,N2
MBPR039_02,2.6725,"Butane, 2-methyl-",C5H12,97.70118476,Ru/C 5wt.%,280,134,N2
MBPR032,2.6737,"Butane, 2-methyl-",C5H12,95.16372644,BEA,287,150,N2
MBPR028,2.6738,"Butane, 2-methyl-",C5H12,96.4558697,Ru/C+BEA 5wt.%,272,130,N2
MBPR029,2.6739,"Butane, 2-methyl-",C5H12,96.8599534,BEA,275,115,N2
MBPR022,2.6741,"Butane, 2-methyl-",C5H12,89.67736261,Ru/C+BEA 5wt.%,281,138,N2
MBPR031,2.675,"Butane, 2-methyl-",C5H12,92.18541328,Ru/C+BEA 5wt.%,280,157,N2
MBPR025,2.6761,"Butane, 2-methyl-",C5H12,97.55368097,Ru/C+BEA 5wt.%,278,145,N2
MBPR023,2.6763,"Butane, 2-methyl-",C5H12,95.85246957,BEA,285,138,N2
MBPR026,2.6764,"Butane, 2-methyl-",C5H12,96.9404955,BEA,282,130,N2
MBPR025,2.765,"Butane, 2-methyl-",C5H12,67.65076862,Ru/C+BEA 5wt.%,278,145,N2
MBPR039_02,2.7676,"Butane, 2-methyl-",C5H12,92.16347125,Ru/C 5wt.%,280,134,N2
MBPR038_02,2.7678,Pentane,C5H12,95.65148458,Ru/C 5wt.%,280,134,N2
MBPR022,2.7695,Cyclopentane,C5H10,63.33262941,Ru/C+BEA 5wt.%,281,138,N2
MBPR028,2.7707,Pentane,C5H12,91.26263537,Ru/C+BEA 5wt.%,272,130,N2
MBPR026,2.7727,Pentane,C5H12,74.4937873,BEA,282,130,N2
