open,high,low,close,volume,count,datetime
81.93,84.7,81.3,83.73,26.0,19.0,2021-01-19 09:30:00
83.37,83.5,82.36,83.5,6.0,5.0,2021-01-19 09:35:00
84.25,86.78,84.25,86.6,31.0,8.0,2021-01-19 09:40:00
86.87,86.87,86.73,86.73,6.0,6.0,2021-01-19 09:45:00
84.2,84.2,83.25,83.25,2.0,2.0,2021-01-19 09:50:00
81.8,82.25,81.8,81.92,5.0,5.0,2021-01-19 09:55:00
80.62,80.62,79.52,79.6,12.0,6.0,2021-01-19 10:00:00
82.65,83.25,82.65,83.25,55.0,11.0,2021-01-19 10:05:00
82.55,82.55,82.55,82.55,1.0,1.0,2021-01-19 10:10:00
82.85,82.85,80.73,80.73,4.0,4.0,2021-01-19 10:15:00
79.9,80.25,79.9,80.25,2.0,2.0,2021-01-19 10:20:00
80.82,80.82,80.5,80.5,3.0,3.0,2021-01-19 10:25:00
80.52,80.52,80.52,80.52,2.0,1.0,2021-01-19 10:30:00
81.0,81.0,81.0,81.0,1.0,1.0,2021-01-19 10:35:00
79.6,79.6,79.1,79.1,6.0,5.0,2021-01-19 10:40:00
79.49,79.49,79.49,79.49,1.0,1.0,2021-01-19 10:45:00
78.47,78.47,76.73,76.73,4.0,3.0,2021-01-19 10:50:00
77.3,77.3,76.85,76.85,5.0,3.0,2021-01-19 10:55:00
76.23,77.2,76.23,77.0,9.0,8.0,2021-01-19 11:00:00
77.07,78.11,77.07,78.11,6.0,5.0,2021-01-19 11:05:00
77.6,77.8,76.36,76.36,22.0,12.0,2021-01-19 11:10:00
76.0,76.4,75.96,76.18,50.0,15.0,2021-01-19 11:15:00
75.08,75.08,75.08,75.08,1.0,1.0,2021-01-19 11:20:00
77.0,77.0,77.0,77.0,1.0,1.0,2021-01-19 11:25:00
77.05,77.05,77.05,77.05,4.0,3.0,2021-01-19 11:30:00
77.5,77.5,77.5,77.5,1.0,1.0,2021-01-19 11:35:00
77.7,77.7,77.21,77.21,2.0,2.0,2021-01-19 11:40:00
76.78,76.78,76.0,76.0,3.0,3.0,2021-01-19 11:45:00
77.0,77.0,77.0,77.0,2.0,1.0,2021-01-19 11:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-01-19 11:55:00
77.46,78.0,77.46,77.8,7.0,4.0,2021-01-19 12:00:00
77.62,77.7,77.45,77.7,5.0,3.0,2021-01-19 12:05:00
77.6,77.6,77.6,77.6,1.0,1.0,2021-01-19 12:10:00
77.25,77.74,77.25,77.74,2.0,2.0,2021-01-19 12:15:00
77.12,77.12,77.12,77.12,1.0,1.0,2021-01-19 12:20:00
76.33,76.33,76.33,76.33,6.0,1.0,2021-01-19 12:25:00
76.85,76.85,76.85,76.85,1.0,1.0,2021-01-19 12:30:00
76.31,76.31,76.24,76.24,8.0,3.0,2021-01-19 12:35:00
75.85,76.0,75.85,76.0,5.0,2.0,2021-01-19 12:40:00
75.95,76.15,75.6,75.6,102.0,9.0,2021-01-19 12:45:00
