datetime,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
2021-05-17 09:30:00,1.0,65.0,575.33,0.0,5.0,1.0,575.83,0.0
2021-05-17 09:35:00,1.0,7.0,580.78,0.0,1.0,1.0,581.16,0.0
2021-05-17 09:40:00,2.0,1.0,581.67,0.0,1.0,68.0,582.05,0.0
2021-05-17 09:45:00,1.0,43.0,580.61,0.0,1.0,1.0,581.25,0.0
2021-05-17 09:50:00,1.0,1.0,586.58,0.0,1.0,65.0,586.75,0.0
2021-05-17 09:55:00,1.0,1.0,582.8,0.0,1.0,43.0,583.08,0.0
2021-05-17 10:00:00,1.0,68.0,581.63,0.0,1.0,43.0,581.88,0.0
2021-05-17 10:05:00,1.0,68.0,578.24,0.0,1.0,64.0,578.47,0.0
2021-05-17 10:10:00,1.0,68.0,577.29,0.0,4.0,1.0,577.55,0.0
2021-05-17 10:15:00,1.0,64.0,578.77,0.0,1.0,43.0,578.99,0.0
2021-05-17 10:20:00,1.0,1.0,579.61,0.0,1.0,68.0,579.95,0.0
2021-05-17 10:25:00,1.0,43.0,581.12,0.0,1.0,1.0,581.47,0.0
2021-05-17 10:30:00,1.0,68.0,577.51,0.0,1.0,7.0,577.79,0.0
2021-05-17 10:35:00,1.0,68.0,577.27,0.0,1.0,60.0,577.39,0.0
2021-05-17 10:40:00,1.0,43.0,581.21,0.0,1.0,68.0,581.55,0.0
2021-05-17 10:45:00,1.0,1.0,582.1,0.0,1.0,43.0,582.44,0.0
2021-05-17 10:50:00,2.0,43.0,581.22,0.0,1.0,9.0,581.52,0.0
2021-05-17 10:55:00,1.0,65.0,579.28,0.0,2.0,9.0,579.51,0.0
2021-05-17 11:00:00,1.0,60.0,578.68,0.0,1.0,73.0,578.92,0.0
2021-05-17 11:05:00,1.0,43.0,578.64,0.0,1.0,7.0,579.03,0.0
2021-05-17 11:10:00,1.0,60.0,576.35,0.0,1.0,1.0,576.56,0.0
2021-05-17 11:15:00,1.0,1.0,576.1,0.0,1.0,65.0,576.29,0.0
2021-05-17 11:20:00,1.0,1.0,575.22,0.0,1.0,43.0,575.57,0.0
2021-05-17 11:25:00,2.0,1.0,577.38,0.0,1.0,7.0,577.64,0.0
2021-05-17 11:30:00,1.0,43.0,576.65,0.0,1.0,68.0,576.83,0.0
2021-05-17 11:35:00,2.0,43.0,576.6,0.0,1.0,65.0,576.8,0.0
2021-05-17 11:40:00,1.0,1.0,576.55,0.0,1.0,43.0,576.93,0.0
2021-05-17 11:45:00,2.0,1.0,579.15,0.0,1.0,7.0,579.4,0.0
2021-05-17 11:50:00,1.0,7.0,578.15,0.0,3.0,65.0,578.39,0.0
2021-05-17 11:55:00,1.0,43.0,576.27,0.0,1.0,65.0,576.43,0.0
2021-05-17 12:00:00,1.0,1.0,574.35,0.0,1.0,65.0,574.5,0.0
2021-05-17 12:05:00,2.0,43.0,575.32,0.0,1.0,65.0,575.53,0.0
2021-05-17 12:10:00,1.0,68.0,574.09,0.0,1.0,43.0,574.3,0.0
2021-05-17 12:15:00,1.0,65.0,573.89,0.0,2.0,43.0,574.06,0.0
2021-05-17 12:20:00,3.0,65.0,574.61,0.0,1.0,65.0,574.78,0.0
2021-05-17 12:25:00,1.0,3.0,576.23,0.0,3.0,1.0,576.43,0.0
2021-05-17 12:30:00,1.0,60.0,575.37,0.0,2.0,1.0,575.58,0.0
2021-05-17 12:35:00,1.0,9.0,572.62,0.0,1.0,65.0,572.84,0.0
2021-05-17 12:40:00,1.0,73.0,574.33,0.0,1.0,65.0,574.57,0.0
2021-05-17 12:45:00,1.0,1.0,575.53,0.0,1.0,60.0,575.77,0.0
2021-05-17 12:50:00,6.0,65.0,574.0,0.0,1.0,68.0,574.12,0.0
2021-05-17 12:55:00,1.0,43.0,574.3,0.0,1.0,1.0,574.49,0.0
2021-05-17 13:00:00,2.0,65.0,572.56,0.0,1.0,73.0,572.69,0.0
2021-05-17 13:05:00,1.0,65.0,572.81,0.0,5.0,65.0,573.0,0.0
2021-05-17 13:10:00,1.0,43.0,570.72,0.0,1.0,43.0,570.96,0.0
2021-05-17 13:15:00,1.0,65.0,568.35,0.0,2.0,7.0,568.45,0.0
2021-05-17 13:20:00,1.0,65.0,568.33,0.0,1.0,43.0,568.51,0.0
2021-05-17 13:25:00,1.0,60.0,568.15,0.0,1.0,43.0,568.37,0.0
2021-05-17 13:30:00,1.0,3.0,568.64,0.0,1.0,64.0,568.85,0.0
2021-05-17 13:35:00,1.0,63.0,567.51,0.0,1.0,1.0,567.68,0.0
2021-05-17 13:40:00,1.0,63.0,564.82,0.0,1.0,1.0,564.97,0.0
2021-05-17 13:45:00,1.0,3.0,565.08,0.0,1.0,43.0,565.29,0.0
2021-05-17 13:50:00,2.0,1.0,566.14,0.0,1.0,63.0,566.29,0.0
2021-05-17 13:55:00,3.0,65.0,565.07,0.0,1.0,73.0,565.34,0.0
2021-05-17 14:00:00,1.0,65.0,564.68,0.0,1.0,43.0,564.81,0.0
2021-05-17 14:05:00,1.0,43.0,566.55,0.0,1.0,63.0,566.75,0.0
2021-05-17 14:10:00,1.0,43.0,567.63,0.0,1.0,43.0,567.87,0.0
2021-05-17 14:15:00,13.0,65.0,566.6,0.0,1.0,65.0,566.8,0.0
2021-05-17 14:20:00,3.0,65.0,565.1,0.0,1.0,68.0,565.24,0.0
2021-05-17 14:25:00,1.0,9.0,564.57,0.0,4.0,1.0,564.73,0.0
2021-05-17 14:30:00,1.0,1.0,562.1,0.0,1.0,68.0,562.2,0.0
2021-05-17 14:35:00,1.0,43.0,564.01,0.0,1.0,43.0,564.23,0.0
2021-05-17 14:40:00,2.0,60.0,562.1,0.0,1.0,43.0,562.3,0.0
2021-05-17 14:45:00,2.0,65.0,563.5,0.0,1.0,1.0,563.74,0.0
2021-05-17 14:50:00,1.0,43.0,565.16,0.0,1.0,7.0,565.34,0.0
2021-05-17 14:55:00,1.0,7.0,567.59,0.0,1.0,1.0,567.8,0.0
2021-05-17 15:00:00,1.0,7.0,566.7,0.0,1.0,65.0,566.9,0.0
2021-05-17 15:05:00,1.0,43.0,568.05,0.0,1.0,7.0,568.29,0.0
2021-05-17 15:10:00,1.0,4.0,568.36,0.0,1.0,60.0,568.56,0.0
2021-05-17 15:15:00,1.0,60.0,567.09,0.0,2.0,60.0,567.3,0.0
2021-05-17 15:20:00,1.0,73.0,566.16,0.0,2.0,7.0,566.38,0.0
2021-05-17 15:25:00,1.0,65.0,565.84,0.0,1.0,65.0,565.98,0.0
2021-05-17 15:30:00,1.0,60.0,565.84,0.0,1.0,1.0,565.99,0.0
2021-05-17 15:35:00,1.0,68.0,570.04,0.0,1.0,9.0,570.21,0.0
2021-05-17 15:40:00,2.0,65.0,569.6,0.0,3.0,60.0,569.76,0.0
2021-05-17 15:45:00,1.0,1.0,571.86,0.0,2.0,60.0,572.0,0.0
2021-05-17 15:50:00,1.0,60.0,571.61,0.0,1.0,68.0,571.78,0.0
2021-05-17 15:55:00,2.0,4.0,575.4,0.0,2.0,3.0,575.56,0.0
2021-05-18 09:30:00,4.0,7.0,568.0,0.0,20.0,1.0,568.48,0.0
2021-05-18 09:35:00,43.0,65.0,566.13,0.0,1.0,7.0,566.49,0.0
2021-05-18 09:40:00,1.0,1.0,575.0,0.0,1.0,1.0,575.21,0.0
2021-05-18 09:45:00,2.0,65.0,571.5,0.0,1.0,65.0,571.92,0.0
2021-05-18 09:50:00,1.0,43.0,572.61,0.0,1.0,65.0,572.87,0.0
2021-05-18 09:55:00,2.0,7.0,574.52,0.0,27.0,1.0,574.74,0.0
2021-05-18 10:00:00,1.0,1.0,572.1,0.0,1.0,1.0,572.42,0.0
2021-05-18 10:05:00,1.0,68.0,572.03,0.0,1.0,63.0,572.26,0.0
2021-05-18 10:10:00,1.0,9.0,578.33,0.0,2.0,65.0,578.6,0.0
