open,high,low,close,volume,count,datetime
56.7,56.7,53.2,53.2,10.0,6.0,2021-03-15 09:30:00
52.5,52.5,52.5,52.5,1.0,1.0,2021-03-15 09:35:00
52.45,53.5,52.45,53.5,3.0,3.0,2021-03-15 09:40:00
53.2,53.2,53.0,53.0,2.0,2.0,2021-03-15 09:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-15 09:50:00
56.5,57.67,56.5,57.67,6.0,6.0,2021-03-15 09:55:00
60.34,64.6,60.34,64.6,13.0,6.0,2021-03-15 10:00:00
63.7,65.9,63.5,65.9,7.0,6.0,2021-03-15 10:05:00
63.4,65.1,63.25,65.1,8.0,6.0,2021-03-15 10:10:00
63.6,65.5,63.34,65.5,4.0,3.0,2021-03-15 10:15:00
63.85,63.85,61.58,62.45,5.0,4.0,2021-03-15 10:20:00
61.5,61.88,61.0,61.88,11.0,4.0,2021-03-15 10:25:00
62.49,63.75,61.65,63.29,15.0,6.0,2021-03-15 10:30:00
62.12,62.4,60.4,60.42,25.0,7.0,2021-03-15 10:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-15 10:40:00
62.4,62.4,61.7,61.7,14.0,8.0,2021-03-15 10:45:00
62.6,62.6,62.3,62.4,15.0,4.0,2021-03-15 10:50:00
61.5,61.5,60.0,60.9,5.0,4.0,2021-03-15 10:55:00
60.15,60.95,60.15,60.95,2.0,2.0,2021-03-15 11:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-03-15 11:05:00
59.4,59.75,59.4,59.75,2.0,2.0,2021-03-15 11:10:00
60.3,60.3,59.5,59.5,3.0,3.0,2021-03-15 11:15:00
57.3,57.3,57.3,57.3,1.0,1.0,2021-03-15 11:20:00
57.26,57.26,56.69,56.69,2.0,2.0,2021-03-15 11:25:00
56.7,56.7,55.9,55.9,4.0,4.0,2021-03-15 11:30:00
55.4,55.6,55.16,55.16,7.0,6.0,2021-03-15 11:35:00
56.46,57.3,56.46,57.3,11.0,2.0,2021-03-15 11:40:00
57.68,57.78,57.67,57.67,11.0,3.0,2021-03-15 11:45:00
58.5,58.85,58.35,58.85,4.0,4.0,2021-03-15 11:50:00
58.79,58.9,58.22,58.22,7.0,6.0,2021-03-15 11:55:00
58.76,58.76,58.76,58.76,1.0,1.0,2021-03-15 12:00:00
59.79,59.79,59.43,59.43,2.0,2.0,2021-03-15 12:05:00
