datetime,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
2021-06-14 09:30:00,2.0,7.0,612.0,0.0,1.0,9.0,612.48,0.0
2021-06-14 09:35:00,1.0,1.0,612.23,0.0,2.0,1.0,612.6,0.0
2021-06-14 09:40:00,1.0,68.0,623.69,0.0,1.0,1.0,624.19,0.0
2021-06-14 09:45:00,1.0,60.0,620.57,0.0,1.0,7.0,620.9,0.0
2021-06-14 09:50:00,1.0,1.0,622.85,0.0,1.0,65.0,623.17,0.0
2021-06-14 09:55:00,1.0,7.0,621.81,0.0,1.0,68.0,622.14,0.0
2021-06-14 10:00:00,1.0,1.0,622.56,0.0,1.0,1.0,622.77,0.0
2021-06-14 10:05:00,1.0,65.0,619.01,0.0,2.0,1.0,619.13,0.0
2021-06-14 10:10:00,1.0,65.0,619.74,0.0,1.0,1.0,619.99,0.0
2021-06-14 10:15:00,1.0,60.0,620.43,0.0,1.0,65.0,620.74,0.0
2021-06-14 10:20:00,2.0,60.0,618.63,0.0,1.0,3.0,618.81,0.0
2021-06-14 10:25:00,1.0,7.0,619.45,0.0,1.0,1.0,619.66,0.0
2021-06-14 10:30:00,1.0,7.0,618.74,0.0,3.0,1.0,618.99,0.0
2021-06-14 10:35:00,1.0,68.0,618.11,0.0,1.0,65.0,618.28,0.0
2021-06-14 10:40:00,1.0,65.0,617.0,0.0,1.0,1.0,617.12,0.0
2021-06-14 10:45:00,2.0,1.0,616.9,0.0,2.0,1.0,617.15,0.0
2021-06-14 10:50:00,1.0,68.0,618.51,0.0,1.0,1.0,618.75,0.0
2021-06-14 10:55:00,2.0,43.0,618.4,0.0,1.0,60.0,618.59,0.0
2021-06-14 11:00:00,1.0,7.0,618.09,0.0,1.0,73.0,618.34,0.0
2021-06-14 11:05:00,1.0,7.0,615.21,0.0,1.0,68.0,615.4,0.0
2021-06-14 11:10:00,2.0,7.0,615.86,0.0,1.0,1.0,616.03,0.0
2021-06-14 11:15:00,1.0,68.0,616.64,0.0,1.0,1.0,616.87,0.0
2021-06-14 11:20:00,1.0,1.0,617.04,0.0,1.0,65.0,617.35,0.0
2021-06-14 11:25:00,5.0,7.0,617.03,0.0,2.0,43.0,617.22,0.0
2021-06-14 11:30:00,1.0,7.0,617.29,0.0,6.0,65.0,617.41,0.0
2021-06-14 11:35:00,1.0,68.0,616.52,0.0,1.0,60.0,616.68,0.0
2021-06-14 11:40:00,1.0,43.0,616.4,0.0,1.0,1.0,616.56,0.0
2021-06-14 11:45:00,1.0,7.0,615.93,0.0,1.0,43.0,616.16,0.0
2021-06-14 11:50:00,1.0,7.0,616.62,0.0,2.0,1.0,616.75,0.0
2021-06-14 11:55:00,1.0,60.0,617.87,0.0,2.0,65.0,618.0,0.0
2021-06-14 12:00:00,1.0,3.0,617.47,0.0,1.0,7.0,617.69,0.0
2021-06-14 12:05:00,1.0,7.0,618.61,0.0,1.0,65.0,618.77,0.0
2021-06-14 12:10:00,1.0,68.0,617.22,0.0,1.0,7.0,617.38,0.0
2021-06-14 12:15:00,1.0,60.0,616.96,0.0,1.0,7.0,617.16,0.0
2021-06-14 12:20:00,1.0,68.0,616.02,0.0,1.0,68.0,616.15,0.0
2021-06-14 12:25:00,2.0,60.0,615.3,0.0,1.0,43.0,615.48,0.0
2021-06-14 12:30:00,1.0,1.0,614.82,0.0,1.0,65.0,614.96,0.0
2021-06-14 12:35:00,2.0,43.0,614.43,0.0,2.0,1.0,614.57,0.0
2021-06-14 12:40:00,1.0,1.0,614.62,0.0,1.0,68.0,614.74,0.0
2021-06-14 12:45:00,1.0,1.0,615.07,0.0,1.0,68.0,615.17,0.0
2021-06-14 12:50:00,1.0,7.0,615.0,0.0,1.0,68.0,615.15,0.0
2021-06-14 12:55:00,2.0,1.0,614.88,0.0,1.0,1.0,614.96,0.0
2021-06-14 13:00:00,1.0,68.0,615.68,0.0,1.0,7.0,615.88,0.0
2021-06-14 13:05:00,2.0,60.0,615.75,0.0,1.0,17.0,615.94,0.0
2021-06-14 13:10:00,1.0,64.0,615.52,0.0,1.0,68.0,615.61,0.0
2021-06-14 13:15:00,1.0,60.0,614.78,0.0,1.0,43.0,614.89,0.0
2021-06-14 13:20:00,1.0,60.0,613.95,0.0,1.0,7.0,614.1,0.0
2021-06-14 13:25:00,1.0,60.0,612.95,0.0,1.0,43.0,613.1,0.0
2021-06-14 13:30:00,1.0,1.0,612.8,0.0,5.0,65.0,612.9,0.0
2021-06-14 13:35:00,1.0,43.0,614.48,0.0,1.0,43.0,614.64,0.0
2021-06-14 13:40:00,1.0,43.0,615.12,0.0,1.0,43.0,615.3,0.0
2021-06-14 13:45:00,1.0,7.0,618.26,0.0,2.0,1.0,618.49,0.0
2021-06-14 13:50:00,1.0,1.0,618.62,0.0,1.0,68.0,618.76,0.0
2021-06-14 13:55:00,2.0,60.0,620.53,0.0,1.0,68.0,620.62,0.0
2021-06-14 14:00:00,1.0,3.0,621.06,0.0,4.0,1.0,621.25,0.0
2021-06-14 14:05:00,1.0,65.0,620.64,0.0,1.0,3.0,620.96,0.0
2021-06-14 14:10:00,1.0,11.0,619.62,0.0,1.0,3.0,619.83,0.0
2021-06-14 14:15:00,1.0,68.0,620.74,0.0,1.0,64.0,620.89,0.0
2021-06-14 14:20:00,1.0,7.0,619.42,0.0,1.0,68.0,619.72,0.0
2021-06-14 14:25:00,1.0,65.0,618.6,0.0,3.0,60.0,618.95,0.0
2021-06-14 14:30:00,1.0,65.0,617.59,0.0,1.0,7.0,617.85,0.0
2021-06-14 14:35:00,1.0,1.0,618.31,0.0,1.0,1.0,618.46,0.0
2021-06-14 14:40:00,1.0,65.0,617.15,0.0,1.0,68.0,617.31,0.0
