datetime,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
2021-10-04 09:30:00,5.0,7.0,796.5,0.0,2.0,1.0,797.3,0.0
2021-10-04 09:35:00,1.0,3.0,800.55,0.0,1.0,64.0,800.81,0.0
2021-10-04 09:40:00,1.0,7.0,793.54,0.0,1.0,65.0,793.83,0.0
2021-10-04 09:45:00,1.0,60.0,795.74,0.0,1.0,43.0,795.94,0.0
2021-10-04 09:50:00,2.0,73.0,797.51,0.0,1.0,68.0,797.71,0.0
2021-10-04 09:55:00,1.0,1.0,796.73,0.0,1.0,68.0,796.88,0.0
2021-10-04 10:00:00,1.0,43.0,803.81,0.0,1.0,60.0,804.07,0.0
2021-10-04 10:05:00,1.0,9.0,804.32,0.0,2.0,1.0,804.55,0.0
2021-10-04 10:10:00,2.0,1.0,803.25,0.0,1.0,11.0,803.49,0.0
2021-10-04 10:15:00,3.0,1.0,803.53,0.0,1.0,68.0,803.79,0.0
2021-10-04 10:20:00,1.0,8.0,796.89,0.0,2.0,1.0,797.07,0.0
2021-10-04 10:25:00,1.0,60.0,795.55,0.0,1.0,43.0,795.74,0.0
2021-10-04 10:30:00,3.0,1.0,794.65,0.0,1.0,1.0,794.79,0.0
2021-10-04 10:35:00,1.0,7.0,788.91,0.0,1.0,60.0,789.09,0.0
2021-10-04 10:40:00,1.0,43.0,788.89,0.0,1.0,1.0,789.14,0.0
2021-10-04 10:45:00,1.0,60.0,791.59,0.0,1.0,1.0,791.78,0.0
2021-10-04 10:50:00,1.0,1.0,788.6,0.0,1.0,1.0,788.79,0.0
2021-10-04 10:55:00,1.0,1.0,788.68,0.0,1.0,1.0,788.86,0.0
2021-10-04 11:00:00,2.0,1.0,792.35,0.0,1.0,65.0,792.54,0.0
2021-10-04 11:05:00,5.0,1.0,790.8,0.0,1.0,1.0,791.17,0.0
2021-10-04 11:10:00,3.0,1.0,790.33,0.0,1.0,73.0,790.55,0.0
2021-10-04 11:15:00,1.0,60.0,791.01,0.0,1.0,1.0,791.2,0.0
2021-10-04 11:20:00,1.0,64.0,792.05,0.0,1.0,7.0,792.29,0.0
2021-10-04 11:25:00,1.0,68.0,787.92,0.0,1.0,43.0,788.19,0.0
2021-10-04 11:30:00,1.0,60.0,788.36,0.0,1.0,7.0,788.66,0.0
2021-10-04 11:35:00,1.0,63.0,785.09,0.0,1.0,43.0,785.42,0.0
2021-10-04 11:40:00,1.0,64.0,783.37,0.0,1.0,43.0,783.65,0.0
2021-10-04 11:45:00,1.0,43.0,785.8,0.0,1.0,73.0,786.0,0.0
2021-10-04 11:50:00,1.0,65.0,785.14,0.0,1.0,1.0,785.33,0.0
2021-10-04 11:55:00,2.0,43.0,787.14,0.0,1.0,7.0,787.37,0.0
2021-10-04 12:00:00,1.0,60.0,787.16,0.0,1.0,7.0,787.37,0.0
2021-10-04 12:05:00,1.0,60.0,785.02,0.0,1.0,7.0,785.28,0.0
2021-10-04 12:10:00,1.0,7.0,787.36,0.0,1.0,60.0,787.57,0.0
2021-10-04 12:15:00,1.0,43.0,787.75,0.0,1.0,7.0,787.96,0.0
