open,high,low,close,volume,count,datetime
58.92,58.92,57.0,57.0,3.0,3.0,2021-04-05 09:30:00
59.0,59.0,59.0,59.0,1.0,1.0,2021-04-05 09:35:00
57.0,57.0,55.0,55.0,9.0,5.0,2021-04-05 09:40:00
57.05,59.0,56.84,58.4,23.0,17.0,2021-04-05 09:45:00
57.1,57.1,56.58,56.58,5.0,2.0,2021-04-05 09:50:00
54.35,54.4,53.5,54.4,6.0,5.0,2021-04-05 09:55:00
54.17,54.18,53.5,53.5,19.0,9.0,2021-04-05 10:00:00
52.9,53.35,52.9,53.35,21.0,2.0,2021-04-05 10:05:00
53.2,53.2,52.6,52.6,11.0,2.0,2021-04-05 10:10:00
52.8,54.8,52.8,54.8,25.0,12.0,2021-04-05 10:15:00
54.4,55.5,54.4,55.0,32.0,5.0,2021-04-05 10:20:00
55.71,57.44,55.71,57.1,25.0,6.0,2021-04-05 10:25:00
58.85,58.85,58.85,58.85,3.0,1.0,2021-04-05 10:30:00
55.8,55.8,55.5,55.5,3.0,2.0,2021-04-05 10:35:00
55.21,55.6,55.0,55.0,15.0,4.0,2021-04-05 10:40:00
55.0,55.0,55.0,55.0,40.0,1.0,2021-04-05 10:45:00
54.6,54.6,54.6,54.6,1.0,1.0,2021-04-05 10:50:00
54.43,54.43,54.43,54.43,1.0,1.0,2021-04-05 10:55:00
53.55,54.17,53.55,54.17,23.0,2.0,2021-04-05 11:00:00
55.1,55.1,54.45,54.45,17.0,6.0,2021-04-05 11:05:00
54.7,54.7,54.7,54.7,20.0,1.0,2021-04-05 11:10:00
56.5,56.7,56.15,56.7,4.0,3.0,2021-04-05 11:15:00
57.0,57.0,55.6,55.6,3.0,3.0,2021-04-05 11:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 11:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 11:30:00
55.9,55.9,55.9,55.9,2.0,1.0,2021-04-05 11:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 11:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 11:45:00
54.0,54.0,54.0,54.0,3.0,1.0,2021-04-05 11:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 11:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 12:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 12:05:00
54.9,54.9,54.9,54.9,20.0,1.0,2021-04-05 12:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 12:15:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 12:20:00
53.6,53.6,53.6,53.6,1.0,1.0,2021-04-05 12:25:00
54.5,54.5,54.5,54.5,14.0,1.0,2021-04-05 12:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 12:35:00
51.4,51.4,51.4,51.4,1.0,1.0,2021-04-05 12:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 12:45:00
50.25,50.38,50.25,50.38,12.0,2.0,2021-04-05 12:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 12:55:00
52.1,52.1,52.1,52.1,1.0,1.0,2021-04-05 13:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 13:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 13:10:00
53.07,53.07,53.07,53.07,1.0,1.0,2021-04-05 13:15:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 13:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 13:25:00
53.8,53.8,53.7,53.7,2.0,2.0,2021-04-05 13:30:00
53.26,53.35,53.26,53.35,4.0,2.0,2021-04-05 13:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 13:40:00
54.2,54.2,54.2,54.2,2.0,1.0,2021-04-05 13:45:00
54.5,55.95,54.5,55.95,39.0,5.0,2021-04-05 13:50:00
56.95,56.95,56.25,56.25,2.0,2.0,2021-04-05 13:55:00
57.0,57.15,56.95,57.15,6.0,4.0,2021-04-05 14:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 14:05:00
57.1,58.6,57.1,58.6,2.0,2.0,2021-04-05 14:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05 14:15:00
