Name                                                                        Stmts   Miss  Cover
-----------------------------------------------------------------------------------------------
/home/olivier/workspace/PyPoser/src/pypos3d/__init__.py                         3      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/dztk/Loader.py                    146    146     0%
/home/olivier/workspace/PyPoser/src/pypos3d/dztk/__init__.py                    3      3     0%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/ChannelImportAnalysis.py     360     15    96%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/Figure.py                    989     51    95%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/GeomCustom.py                170      8    95%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/PoserBasic.py                995     23    98%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/PoserFile.py                 689     32    95%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/PoserMeshed.py               810     38    95%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/SimpleAttribut.py            285     11    96%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/StructuredAttribut.py       1406     95    93%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/__init__.py                    3      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/propslim/MxBasic.py               212      7    97%
/home/olivier/workspace/PyPoser/src/pypos3d/propslim/MxStdModel.py            344     26    92%
/home/olivier/workspace/PyPoser/src/pypos3d/propslim/PropSlim.py              203     12    94%
/home/olivier/workspace/PyPoser/src/pypos3d/propslim/__init__.py               11      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/GeomGroup.py                 965     35    96%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/PaveList2D.py                 66      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/PoserFileParser.py           112      8    93%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/Repere.py                     63      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/UVRender.py                   32      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/WFBasic.py                  1301     59    95%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/WaveGeom.py                 1630     55    97%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/__init__.py                    3      0   100%
-----------------------------------------------------------------------------------------------
TOTAL                                                                       10801    624    94%
