open,high,low,close,volume,count,datetime
60.65,61.3,59.39,61.3,5.0,4.0,2021-04-19 09:30:00
61.15,61.15,58.0,58.0,7.0,3.0,2021-04-19 09:35:00
57.38,57.38,55.36,55.58,20.0,17.0,2021-04-19 09:40:00
55.9,56.83,55.9,56.83,16.0,13.0,2021-04-19 09:45:00
56.82,57.7,55.45,57.7,47.0,28.0,2021-04-19 09:50:00
57.78,58.2,57.5,57.5,25.0,11.0,2021-04-19 09:55:00
56.75,56.75,51.85,53.0,37.0,21.0,2021-04-19 10:00:00
53.84,54.0,52.04,54.0,32.0,18.0,2021-04-19 10:05:00
54.4,54.4,53.66,54.0,27.0,15.0,2021-04-19 10:10:00
53.57,54.6,53.57,53.85,32.0,14.0,2021-04-19 10:15:00
53.61,55.0,52.77,55.0,15.0,5.0,2021-04-19 10:20:00
54.99,54.99,54.92,54.92,7.0,3.0,2021-04-19 10:25:00
56.0,56.25,55.95,56.03,20.0,8.0,2021-04-19 10:30:00
55.55,55.55,55.55,55.55,1.0,1.0,2021-04-19 10:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-19 10:40:00
53.6,53.8,53.6,53.7,10.0,3.0,2021-04-19 10:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-19 10:50:00
55.4,55.4,55.0,55.0,5.0,5.0,2021-04-19 10:55:00
54.75,55.03,54.75,55.03,3.0,2.0,2021-04-19 11:00:00
56.35,56.68,56.15,56.15,8.0,6.0,2021-04-19 11:05:00
56.0,57.25,56.0,57.25,10.0,7.0,2021-04-19 11:10:00
58.0,59.55,58.0,58.65,19.0,13.0,2021-04-19 11:15:00
58.2,58.2,58.0,58.0,2.0,2.0,2021-04-19 11:20:00
58.85,59.2,58.32,58.69,16.0,6.0,2021-04-19 11:25:00
58.0,59.2,57.99,58.95,13.0,11.0,2021-04-19 11:30:00
57.56,57.84,57.56,57.6,8.0,5.0,2021-04-19 11:35:00
56.8,57.0,56.29,56.29,7.0,5.0,2021-04-19 11:40:00
55.65,56.1,55.65,56.1,6.0,2.0,2021-04-19 11:45:00
56.65,57.68,56.65,57.47,36.0,19.0,2021-04-19 11:50:00
56.9,56.9,56.9,56.9,3.0,1.0,2021-04-19 11:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-19 12:00:00
56.0,56.5,56.0,56.5,3.0,3.0,2021-04-19 12:05:00
57.5,57.73,57.5,57.73,5.0,3.0,2021-04-19 12:10:00
58.4,59.25,58.29,59.12,21.0,16.0,2021-04-19 12:15:00
59.75,60.2,59.65,59.65,12.0,10.0,2021-04-19 12:20:00
60.45,60.45,59.11,59.11,5.0,3.0,2021-04-19 12:25:00
